Unnamed: 0;y;x;year;month;pm10;o3;co;t2;ws;wd;rn;Codigo localidad;MuertesxPM25;Poblacion;RF;pm25
0.0;10.0;8.0;2008.0;1.0;48.761;15.613;1.015;14.3;0.89;222.116;0.129;12.0;168.0;178732.0;23.369083333333332;
1.0;10.0;8.0;2008.0;2.0;50.698;13.859;1.126;14.501;0.848;225.258;0.181;12.0;12.0;178732.0;19.552333333333333;
2.0;10.0;8.0;2008.0;3.0;49.986;14.367;1.085;14.445;0.838;223.729;0.164;12.0;25.0;178732.0;22.07058333333333;
3.0;10.0;8.0;2008.0;4.0;44.849;10.773;1.178;14.392;0.838;223.482;0.175;12.0;35.0;178732.0;27.316000000000003;
4.0;10.0;8.0;2008.0;5.0;41.162;8.471;0.94;14.472;0.854;223.558;0.183;12.0;20.0;178732.0;16.738083333333332;
5.0;10.0;8.0;2008.0;6.0;40.129;8.65;0.965;14.414;0.835;220.313;0.119;12.0;7.0;178732.0;17.488166666666665;
6.0;10.0;8.0;2008.0;7.0;41.567;8.963;0.956;14.228;0.814;222.197;0.112;12.0;10.0;178732.0;16.967666666666663;
7.0;10.0;8.0;2008.0;8.0;42.401;12.179;0.902;14.239;0.785;221.374;0.102;12.0;13.0;178732.0;18.13483333333333;
8.0;10.0;8.0;2008.0;9.0;41.721;12.24;0.767;14.323;0.722;215.839;0.023;12.0;5.0;178732.0;17.458999999999996;15.46781115879828
9.0;10.0;8.0;2008.0;10.0;31.215;12.813;0.633;14.567;0.3;159.4;0.033;12.0;8.0;178732.0;11.072000000000003;10.07333333333333
10.0;10.0;8.0;2008.0;11.0;50.853;11.673;1.18;14.227;0.781;224.576;0.176;12.0;3.0;178732.0;20.57425;
11.0;10.0;8.0;2008.0;12.0;51.299;11.657;1.205;14.162;0.806;223.428;0.195;12.0;8.0;178732.0;20.82783333333333;
12.0;10.0;8.0;2009.0;1.0;49.004;16.144;1.053;14.355;1.456;224.117;0.137;12.0;19.0;169541.0;20.470166666666668;
13.0;10.0;8.0;2009.0;2.0;50.963;17.17;0.998;14.526;1.541;227.552;0.261;12.0;16.0;169541.0;16.48925;15.21915887850467
14.0;10.0;8.0;2009.0;3.0;50.861;12.689;1.087;14.428;1.499;226.017;0.209;12.0;10.0;169541.0;20.221166666666672;20.3
15.0;10.0;8.0;2009.0;4.0;42.662;11.274;0.875;15.049;1.674;212.597;0.12;12.0;118.0;169541.0;18.116083333333332;15.75342205323194
16.0;10.0;8.0;2009.0;5.0;42.853;10.268;0.894;14.466;1.493;204.484;0.034;12.0;44.0;169541.0;21.305000000000003;14.97940298507463
17.0;10.0;8.0;2009.0;6.0;29.189;7.866;0.554;14.276;1.59;196.595;0.044;12.0;24.0;169541.0;12.778;11.745
18.0;10.0;8.0;2009.0;7.0;22.243;9.504;0.826;14.062;1.719;160.388;0.05;12.0;10.0;169541.0;11.33558333333333;13.25792682926829
19.0;10.0;8.0;2009.0;8.0;27.914;12.168;0.834;14.51;1.646;187.062;0.054;12.0;8.0;169541.0;14.641916666666667;15.58991150442478
20.0;10.0;8.0;2009.0;9.0;27.84;18.007;0.552;14.515;1.827;171.752;0.018;12.0;4.0;169541.0;14.363;15.07716666666667
21.0;10.0;8.0;2009.0;10.0;46.224;14.655;1.033;14.154;1.454;219.719;0.205;12.0;7.0;169541.0;24.365250000000003;24.1687134502924
22.0;10.0;8.0;2009.0;11.0;41.261;14.718;1.09;14.565;1.462;221.813;0.07;12.0;3.0;169541.0;20.745666666666665;22.05292353823088
23.0;10.0;8.0;2009.0;12.0;44.027;13.31;1.256;13.88;1.444;215.202;0.101;12.0;2.0;169541.0;21.3365;24.27765793528506
24.0;10.0;8.0;2010.0;1.0;48.63;19.736;1.032;14.237;1.611;212.526;0.027;12.0;35.0;161921.0;23.228583333333333;26.09656160458453
25.0;10.0;8.0;2010.0;2.0;50.822;20.157;1.114;15.617;1.744;198.895;0.048;12.0;32.0;161921.0;28.437416666666675;30.13070607553366
26.0;10.0;8.0;2010.0;3.0;50.319;17.009;1.144;15.398;1.614;211.518;0.03;12.0;129.0;161921.0;28.804500000000004;29.0979381443299
27.0;10.0;8.0;2010.0;4.0;48.143;11.33;1.256;15.299;1.339;228.941;0.266;12.0;9.0;161921.0;23.27933333333333;25.47726495726496
28.0;10.0;8.0;2010.0;5.0;38.981;8.992;1.013;15.361;1.442;223.881;0.301;12.0;6.0;161921.0;20.11708333333333;19.98041401273885
29.0;10.0;8.0;2010.0;6.0;39.781;8.534;0.93;14.447;1.384;223.44;0.077;12.0;12.0;161921.0;19.41933333333333;18.23542039355993
30.0;10.0;8.0;2010.0;7.0;43.176;7.311;0.98;14.062;1.316;234.478;0.245;12.0;18.0;161921.0;22.327916666666667;20.36757188498403
31.0;10.0;8.0;2010.0;8.0;47.359;11.667;0.961;13.988;1.402;231.324;0.065;12.0;10.0;161921.0;24.543000000000003;24.54257748776509
32.0;10.0;8.0;2010.0;9.0;55.737;11.433;1.135;13.8;1.311;249.407;0.087;12.0;10.0;161921.0;27.56233333333333;29.42625250501002
33.0;10.0;8.0;2010.0;10.0;42.507;13.192;0.989;14.388;1.355;224.851;0.233;12.0;7.0;161921.0;23.121750000000006;23.71119081779053
34.0;10.0;8.0;2010.0;11.0;50.049;10.054;1.537;14.31;1.206;238.961;0.242;12.0;2.0;161921.0;25.261750000000003;27.11144578313253
35.0;10.0;8.0;2010.0;12.0;53.983;12.088;0.951;13.752;1.226;235.72;0.162;12.0;9.0;161921.0;26.14341666666667;27.24882154882155
36.0;10.0;8.0;2011.0;1.0;50.269;21.248;0.926;13.927;1.454;232.695;0.123;12.0;85.0;155514.0;22.90558333333333;24.64150943396226
37.0;10.0;8.0;2011.0;2.0;44.731;19.195;0.932;14.368;1.516;229.561;0.155;12.0;82.0;155514.0;23.767416666666666;24.63168316831683
38.0;10.0;8.0;2011.0;3.0;36.388;11.473;0.754;14.257;1.527;255.302;0.131;12.0;29.0;155514.0;22.787333333333333;22.80275862068966
39.0;10.0;8.0;2011.0;4.0;42.223;9.739;0.862;14.873;1.433;217.564;0.226;12.0;20.0;155514.0;21.18733333333333;24.08087248322148
40.0;10.0;8.0;2011.0;5.0;36.802;6.234;0.936;14.955;1.168;237.315;0.214;12.0;20.0;155514.0;19.06266666666667;19.63704318936877
41.0;10.0;8.0;2011.0;6.0;31.94;9.167;1.039;14.694;1.172;194.748;0.096;12.0;13.0;155514.0;15.723916666666668;16.41853360488798
42.0;10.0;8.0;2011.0;7.0;35.475;9.508;0.81;14.405;1.366;191.77;0.062;12.0;18.0;155514.0;17.282166666666665;16.97606837606838
43.0;10.0;8.0;2011.0;8.0;39.158;14.713;0.592;14.297;1.238;218.158;0.036;12.0;12.0;155514.0;17.807333333333332;19.24799235181645
44.0;10.0;8.0;2011.0;9.0;36.233;12.734;1.135;13.605;1.176;209.715;0.074;12.0;8.0;155514.0;19.706583333333338;20.22831215970962
45.0;10.0;8.0;2011.0;10.0;39.701;9.19;1.176;13.915;1.051;238.556;0.286;12.0;8.0;155514.0;19.741166666666672;21.13448275862069
