Unnamed: 0;y;x;year;month;pm10;o3;co;t2;ws;wd;rn;Codigo localidad;MuertesxPM25;Poblacion;XG;pm25
0.0;10.0;8.0;2008.0;1.0;48.396;17.07;1.013;14.362;0.897;222.503;0.126;12.0;168.0;178732.0;18.630013;
1.0;10.0;8.0;2008.0;2.0;51.873;15.481;1.059;14.574;0.872;225.42;0.193;12.0;12.0;178732.0;20.04617;
2.0;10.0;8.0;2008.0;3.0;50.366;15.248;1.041;14.572;0.883;224.52;0.178;12.0;25.0;178732.0;21.168566;
3.0;10.0;8.0;2008.0;4.0;44.178;11.786;0.997;14.579;0.868;225.633;0.176;12.0;35.0;178732.0;17.724007;
4.0;10.0;8.0;2008.0;5.0;42.909;8.789;1.01;14.64;0.864;227.436;0.188;12.0;20.0;178732.0;16.493977;
5.0;10.0;8.0;2008.0;6.0;42.609;8.908;1.013;14.428;0.846;222.266;0.121;12.0;7.0;178732.0;16.661818;
6.0;10.0;8.0;2008.0;7.0;42.389;9.246;1.005;14.235;0.829;224.446;0.122;12.0;10.0;178732.0;16.594465;
7.0;10.0;8.0;2008.0;8.0;41.655;11.82;0.899;14.19;0.815;216.802;0.096;12.0;13.0;178732.0;15.849155;
8.0;10.0;8.0;2008.0;9.0;41.721;12.24;0.767;14.323;0.828;215.839;0.023;12.0;5.0;178732.0;15.630375;15.46781115879828
9.0;10.0;8.0;2008.0;10.0;31.215;12.813;0.633;14.567;0.3;159.4;0.033;12.0;8.0;178732.0;10.716684;10.07333333333333
10.0;10.0;8.0;2008.0;11.0;51.589;11.807;1.172;14.099;0.852;225.502;0.163;12.0;3.0;178732.0;20.443209;
11.0;10.0;8.0;2008.0;12.0;51.21;11.858;1.18;14.101;0.861;222.907;0.172;12.0;8.0;178732.0;20.722008;
12.0;10.0;8.0;2009.0;1.0;49.015;16.684;1.062;14.405;1.503;223.636;0.144;12.0;19.0;169541.0;21.127924;
13.0;10.0;8.0;2009.0;2.0;50.963;17.17;0.998;14.526;1.541;227.552;0.261;12.0;16.0;169541.0;17.030247;15.21915887850467
14.0;10.0;8.0;2009.0;3.0;50.861;12.689;1.087;14.428;1.499;226.017;0.209;12.0;10.0;169541.0;20.749382;20.3
15.0;10.0;8.0;2009.0;4.0;42.662;11.274;0.875;15.049;1.674;212.597;0.12;12.0;118.0;169541.0;16.450827;15.75342205323194
16.0;10.0;8.0;2009.0;5.0;42.853;10.268;0.894;14.466;1.493;204.484;0.034;12.0;44.0;169541.0;19.409693;14.97940298507463
17.0;10.0;8.0;2009.0;6.0;29.189;7.866;0.554;14.276;1.59;196.595;0.044;12.0;24.0;169541.0;11.864827;11.745
18.0;10.0;8.0;2009.0;7.0;22.243;9.504;0.826;14.062;1.719;160.388;0.05;12.0;10.0;169541.0;11.430831;13.25792682926829
19.0;10.0;8.0;2009.0;8.0;27.914;12.168;0.834;14.51;1.646;187.062;0.054;12.0;8.0;169541.0;14.417304;15.58991150442478
20.0;10.0;8.0;2009.0;9.0;27.84;18.007;0.552;14.515;1.827;171.752;0.018;12.0;4.0;169541.0;14.14426;15.07716666666667
21.0;10.0;8.0;2009.0;10.0;46.224;14.655;1.033;14.154;1.454;219.719;0.205;12.0;7.0;169541.0;22.609726;24.1687134502924
22.0;10.0;8.0;2009.0;11.0;41.261;14.718;1.09;14.565;1.462;221.813;0.07;12.0;3.0;169541.0;21.157316;22.05292353823088
23.0;10.0;8.0;2009.0;12.0;44.027;13.31;1.256;13.88;1.444;215.202;0.101;12.0;2.0;169541.0;21.86923;24.27765793528506
24.0;10.0;8.0;2010.0;1.0;48.63;19.736;1.032;14.237;1.611;212.526;0.027;12.0;35.0;161921.0;24.069689;26.09656160458453
25.0;10.0;8.0;2010.0;2.0;50.822;20.157;1.114;15.617;1.744;198.895;0.048;12.0;32.0;161921.0;28.342808;30.13070607553366
26.0;10.0;8.0;2010.0;3.0;50.319;17.009;1.144;15.398;1.614;211.518;0.03;12.0;129.0;161921.0;28.284662;29.0979381443299
27.0;10.0;8.0;2010.0;4.0;48.143;11.33;1.256;15.299;1.339;228.941;0.266;12.0;9.0;161921.0;25.227333;25.47726495726496
28.0;10.0;8.0;2010.0;5.0;38.981;8.992;1.013;15.361;1.442;223.881;0.301;12.0;6.0;161921.0;19.617298;19.98041401273885
29.0;10.0;8.0;2010.0;6.0;39.781;8.534;0.93;14.447;1.384;223.44;0.077;12.0;12.0;161921.0;18.745037;18.23542039355993
30.0;10.0;8.0;2010.0;7.0;43.176;7.311;0.98;14.062;1.316;234.478;0.245;12.0;18.0;161921.0;22.927473;20.36757188498403
31.0;10.0;8.0;2010.0;8.0;47.359;11.667;0.961;13.988;1.402;231.324;0.065;12.0;10.0;161921.0;24.603233;24.54257748776509
